datum,text,betrag,kategorie,einkommen
2026-06-01,LOHN JUNI ARBEITGEBER AG,4'200.00,Einkommen,ja
2026-06-01,MIETE WOHNUNG BERN,1'250.00,Wohnen,nein
2026-06-03,CSS VERSICHERUNG PRAEMIE,320.50,Versicherung,nein
2026-06-03,SWISSCOM MOBILE ABO,59.90,Telekom,nein
2026-06-04,MIGROS BERN BAHNHOF,87.45,Lebensmittel,nein
2026-06-05,SBB MOBILE TICKET,42.00,Transport,nein
2026-06-07,NETFLIX.COM,19.90,Freizeit,nein
2026-06-08,COOP CITY BERN,64.20,Lebensmittel,nein
2026-06-10,SPOTIFY AB STOCKHOLM,12.95,Freizeit,nein
2026-06-11,MCDONALD'S BERN,18.50,Restaurant,nein
2026-06-13,DENNER SATELLIT LYSS,52.80,Lebensmittel,nein
2026-06-15,ZALANDO SE,129.90,Shopping,nein
2026-06-17,MIGROS BERN BAHNHOF,71.30,Lebensmittel,nein
2026-06-19,RESTAURANT KREUZ BIEL,64.00,Restaurant,nein
2026-06-21,SBB MOBILE TICKET,38.00,Transport,nein
2026-06-23,COOP PRONTO BERN,29.60,Lebensmittel,nein
2026-06-25,APOTHEKE BAHNHOF BERN,28.40,Gesundheit,nein
2026-06-27,KINO REX BERN,24.00,Freizeit,nein
2026-06-29,MIGROS BERN BAHNHOF,58.15,Lebensmittel,nein
2026-06-30,DIGITEC GALAXUS AG,89.00,Shopping,nein
2026-07-01,LOHN JULI ARBEITGEBER AG,4'200.00,Einkommen,ja
2026-07-01,MIETE WOHNUNG BERN,1'250.00,Wohnen,nein
2026-07-02,CSS VERSICHERUNG PRAEMIE,320.50,Versicherung,nein
2026-07-03,SWISSCOM MOBILE ABO,59.90,Telekom,nein
2026-07-04,MIGROS BERN BAHNHOF,94.75,Lebensmittel,nein
2026-07-05,SBB MOBILE TICKET,85.00,Transport,nein
2026-07-06,DIGITEC GALAXUS AG 044 913 2323,249.00,Shopping,nein
2026-07-07,NETFLIX.COM,19.90,Freizeit,nein
2026-07-09,MCDONALD'S BERN,22.30,Restaurant,nein
2026-07-10,SPOTIFY AB STOCKHOLM,12.95,Freizeit,nein
2026-07-11,COOP CITY BERN,78.40,Lebensmittel,nein
2026-07-12,RESTAURANT KREUZ BIEL,86.50,Restaurant,nein
2026-07-14,ZALANDO SE,89.90,Shopping,nein
2026-07-15,DENNER SATELLIT LYSS,61.20,Lebensmittel,nein
2026-07-17,KINO REX BERN,45.00,Freizeit,nein
2026-07-18,BAECKEREI HUBER LYSS,14.80,Lebensmittel,nein
2026-07-19,MIGROS BERN BAHNHOF,102.35,Lebensmittel,nein
2026-07-21,RESTAURANT SONNE BIEL,72.00,Restaurant,nein
2026-07-22,APOTHEKE BAHNHOF BERN,34.20,Gesundheit,nein
2026-07-24,SBB MOBILE TICKET,42.00,Transport,nein
2026-07-25,COOP PRONTO BERN,38.90,Lebensmittel,nein
2026-07-26,MCDONALD'S BIEL,16.40,Restaurant,nein
2026-07-28,MIGROS BERN BAHNHOF,88.60,Lebensmittel,nein
2026-07-29,SPOTIFY FAMILY UPGRADE,7.00,Freizeit,nein
2026-07-30,ZALANDO SE,54.90,Shopping,nein
2026-07-31,DENNER SATELLIT LYSS,45.30,Lebensmittel,nein
2026-08-01,LOHN AUGUST ARBEITGEBER AG,4'200.00,Einkommen,ja
2026-08-01,MIETE WOHNUNG BERN,1'250.00,Wohnen,nein
2026-08-03,MIGROS BERN BAHNHOF,66.20,Lebensmittel,nein
2026-08-04,SBB MOBILE TICKET,42.00,Transport,nein
